진료년도,시도,시군구,성별,연령군,환자수
2023,서울,서대문구,여,70~79세,0
2023,서울,서대문구,여,80~89세,0
2023,서울,서대문구,여,90~99세,0
2023,서울,서대문구,여,100세 이상,0
2023,서울,성동구,남,0~9세,0
2023,서울,성동구,남,10~19세,0
2023,서울,성동구,남,20~29세,0
2023,서울,성동구,남,30~39세,0
2023,서울,성동구,남,40~49세,0
2023,서울,성동구,남,50~59세,0
2023,서울,성동구,남,60~69세,0
2023,서울,성동구,남,70~79세,0
2023,서울,성동구,남,80~89세,0
2023,서울,성동구,남,90~99세,0
2023,서울,성동구,남,100세 이상,0
2023,서울,성동구,여,0~9세,0
2023,서울,성동구,여,10~19세,0
2023,서울,성동구,여,20~29세,0
2023,서울,성동구,여,30~39세,18
2023,서울,성동구,여,40~49세,20
2023,서울,성동구,여,50~59세,0
2023,서울,성동구,여,60~69세,0
2023,서울,성동구,여,70~79세,0
2023,서울,성동구,여,80~89세,0
2023,서울,성동구,여,90~99세,0
2023,서울,성동구,여,100세 이상,0
2023,서울,성북구,남,0~9세,15
2023,서울,성북구,남,10~19세,24
2023,서울,성북구,남,20~29세,30
2023,서울,성북구,남,30~39세,29
2023,서울,성북구,남,40~49세,20
2023,서울,성북구,남,50~59세,10
2023,서울,성북구,남,60~69세,0
2023,서울,성북구,남,70~79세,0
2023,서울,성북구,남,80~89세,0
2023,서울,성북구,남,90~99세,0
2023,서울,성북구,남,100세 이상,0
2023,서울,성북구,여,0~9세,0
2023,서울,성북구,여,10~19세,14
2023,서울,성북구,여,20~29세,25
2023,서울,성북구,여,30~39세,32
2023,서울,성북구,여,40~49세,37
2023,서울,성북구,여,50~59세,29
2023,서울,성북구,여,60~69세,14
2023,서울,성북구,여,70~79세,0
2023,서울,성북구,여,80~89세,0
2023,서울,성북구,여,90~99세,0
2023,서울,성북구,여,100세 이상,0
2023,서울,영등포구,남,0~9세,0
2023,서울,영등포구,남,10~19세,0
2023,서울,영등포구,남,20~29세,0
2023,서울,영등포구,남,30~39세,20
2023,서울,영등포구,남,40~49세,13
2023,서울,영등포구,남,50~59세,0
2023,서울,영등포구,남,60~69세,0
2023,서울,영등포구,남,70~79세,0
2023,서울,영등포구,남,80~89세,0
2023,서울,영등포구,남,90~99세,0
2023,서울,영등포구,남,100세 이상,0
2023,서울,영등포구,여,0~9세,0
2023,서울,영등포구,여,10~19세,0
2023,서울,영등포구,여,20~29세,14
2023,서울,영등포구,여,30~39세,24
2023,서울,영등포구,여,40~49세,43
2023,서울,영등포구,여,50~59세,20
2023,서울,영등포구,여,60~69세,0
2023,서울,영등포구,여,70~79세,0
2023,서울,영등포구,여,80~89세,0
2023,서울,영등포구,여,90~99세,0
2023,서울,영등포구,여,100세 이상,0
2023,서울,용산구,남,0~9세,0
2023,서울,용산구,남,10~19세,0
2023,서울,용산구,남,20~29세,15
2023,서울,용산구,남,30~39세,40
2023,서울,용산구,남,40~49세,17
2023,서울,용산구,남,50~59세,12
2023,서울,용산구,남,60~69세,0
2023,서울,용산구,남,70~79세,0
2023,서울,용산구,남,80~89세,0
2023,서울,용산구,남,90~99세,0
2023,서울,용산구,남,100세 이상,0
2023,서울,용산구,여,0~9세,0
2023,서울,용산구,여,10~19세,0
2023,서울,용산구,여,20~29세,56
2023,서울,용산구,여,30~39세,83
2023,서울,용산구,여,40~49세,48
2023,서울,용산구,여,50~59세,29
2023,서울,용산구,여,60~69세,0
2023,서울,용산구,여,70~79세,0
2023,서울,용산구,여,80~89세,0
2023,서울,용산구,여,90~99세,0
2023,서울,용산구,여,100세 이상,0
2023,서울,은평구,남,0~9세,0
2023,서울,은평구,남,10~19세,12
2023,서울,은평구,남,20~29세,10
2023,서울,은평구,남,30~39세,12
2023,서울,은평구,남,40~49세,0
2023,서울,은평구,남,50~59세,0
2023,서울,은평구,남,60~69세,0
2023,서울,은평구,남,70~79세,0
2023,서울,은평구,남,80~89세,0
2023,서울,은평구,남,90~99세,0
2023,서울,은평구,남,100세 이상,0
2023,서울,은평구,여,0~9세,0
2023,서울,은평구,여,10~19세,0
2023,서울,은평구,여,20~29세,14
2023,서울,은평구,여,30~39세,26
2023,서울,은평구,여,40~49세,28
2023,서울,은평구,여,50~59세,21
2023,서울,은평구,여,60~69세,0
2023,서울,은평구,여,70~79세,0
2023,서울,은평구,여,80~89세,0
2023,서울,은평구,여,90~99세,0
2023,서울,은평구,여,100세 이상,0
2023,서울,종로구,남,0~9세,0
2023,서울,종로구,남,10~19세,0
2023,서울,종로구,남,20~29세,21
2023,서울,종로구,남,30~39세,32
2023,서울,종로구,남,40~49세,26
2023,서울,종로구,남,50~59세,16
2023,서울,종로구,남,60~69세,0
2023,서울,종로구,남,70~79세,0
2023,서울,종로구,남,80~89세,0
2023,서울,종로구,남,90~99세,0
2023,서울,종로구,남,100세 이상,0
2023,서울,종로구,여,0~9세,0
2023,서울,종로구,여,10~19세,0
2023,서울,종로구,여,20~29세,29
2023,서울,종로구,여,30~39세,58
2023,서울,종로구,여,40~49세,63
2023,서울,종로구,여,50~59세,39
2023,서울,종로구,여,60~69세,17
2023,서울,종로구,여,70~79세,0
2023,서울,종로구,여,80~89세,0
2023,서울,종로구,여,90~99세,0
2023,서울,종로구,여,100세 이상,0
2023,서울,중구,남,0~9세,0
2023,서울,중구,남,10~19세,0
2023,서울,중구,남,20~29세,0
2023,서울,중구,남,30~39세,0
2023,서울,중구,남,40~49세,0
2023,서울,중구,남,50~59세,0
2023,서울,중구,남,60~69세,0
2023,서울,중구,남,70~79세,0
2023,서울,중구,남,80~89세,0
2023,서울,중구,남,90~99세,0
2023,서울,중구,남,100세 이상,0
2023,서울,중구,여,0~9세,0
2023,서울,중구,여,10~19세,0
2023,서울,중구,여,20~29세,0
2023,서울,중구,여,30~39세,19
2023,서울,중구,여,40~49세,14
2023,서울,중구,여,50~59세,0
2023,서울,중구,여,60~69세,0
2023,서울,중구,여,70~79세,0
2023,서울,중구,여,80~89세,0
2023,서울,중구,여,90~99세,0
2023,서울,중구,여,100세 이상,0
2023,서울,송파구,남,0~9세,19
2023,서울,송파구,남,10~19세,73
2023,서울,송파구,남,20~29세,78
2023,서울,송파구,남,30~39세,97
2023,서울,송파구,남,40~49세,96
2023,서울,송파구,남,50~59세,63
2023,서울,송파구,남,60~69세,26
2023,서울,송파구,남,70~79세,0
2023,서울,송파구,남,80~89세,0
2023,서울,송파구,남,90~99세,0
2023,서울,송파구,남,100세 이상,0
2023,서울,송파구,여,0~9세,14
2023,서울,송파구,여,10~19세,46
2023,서울,송파구,여,20~29세,118
2023,서울,송파구,여,30~39세,206
2023,서울,송파구,여,40~49세,264
2023,서울,송파구,여,50~59세,179
2023,서울,송파구,여,60~69세,110
2023,서울,송파구,여,70~79세,34
2023,서울,송파구,여,80~89세,0
2023,서울,송파구,여,90~99세,0
2023,서울,송파구,여,100세 이상,0
2023,서울,중랑구,남,0~9세,0
2023,서울,중랑구,남,10~19세,0
2023,서울,중랑구,남,20~29세,16
2023,서울,중랑구,남,30~39세,32
2023,서울,중랑구,남,40~49세,17
2023,서울,중랑구,남,50~59세,0
2023,서울,중랑구,남,60~69세,0
2023,서울,중랑구,남,70~79세,0
2023,서울,중랑구,남,80~89세,0
2023,서울,중랑구,남,90~99세,0
2023,서울,중랑구,남,100세 이상,0
2023,서울,중랑구,여,0~9세,0
2023,서울,중랑구,여,10~19세,10
2023,서울,중랑구,여,20~29세,63
2023,서울,중랑구,여,30~39세,142
2023,서울,중랑구,여,40~49세,113
2023,서울,중랑구,여,50~59세,59
2023,서울,중랑구,여,60~69세,18
2023,서울,중랑구,여,70~79세,0
2023,서울,중랑구,여,80~89세,0
2023,서울,중랑구,여,90~99세,0
2023,서울,중랑구,여,100세 이상,0
2023,서울,양천구,남,0~9세,0
2023,서울,양천구,남,10~19세,0
2023,서울,양천구,남,20~29세,0
2023,서울,양천구,남,30~39세,12
2023,서울,양천구,남,40~49세,0
2023,서울,양천구,남,50~59세,0
2023,서울,양천구,남,60~69세,0
2023,서울,양천구,남,70~79세,0
2023,서울,양천구,남,80~89세,0
2023,서울,양천구,남,90~99세,0
2023,서울,양천구,남,100세 이상,0
2023,서울,양천구,여,0~9세,0
2023,서울,양천구,여,10~19세,0
2023,서울,양천구,여,20~29세,14
2023,서울,양천구,여,30~39세,22
2023,서울,양천구,여,40~49세,28
2023,서울,양천구,여,50~59세,33
2023,서울,양천구,여,60~69세,15
2023,서울,양천구,여,70~79세,0
2023,서울,양천구,여,80~89세,0
2023,서울,양천구,여,90~99세,0
2023,서울,양천구,여,100세 이상,0
2023,서울,서초구,남,0~9세,0
2023,서울,서초구,남,10~19세,11
2023,서울,서초구,남,20~29세,26
2023,서울,서초구,남,30~39세,55
2023,서울,서초구,남,40~49세,33
2023,서울,서초구,남,50~59세,13
2023,서울,서초구,남,60~69세,0
2023,서울,서초구,남,70~79세,0
2023,서울,서초구,남,80~89세,0
2023,서울,서초구,남,90~99세,0
2023,서울,서초구,남,100세 이상,0
2023,서울,서초구,여,0~9세,0
2023,서울,서초구,여,10~19세,0
2023,서울,서초구,여,20~29세,80
2023,서울,서초구,여,30~39세,138
2023,서울,서초구,여,40~49세,122
2023,서울,서초구,여,50~59세,59
2023,서울,서초구,여,60~69세,16
2023,서울,서초구,여,70~79세,0
2023,서울,서초구,여,80~89세,0
2023,서울,서초구,여,90~99세,0
2023,서울,서초구,여,100세 이상,0
2023,서울,노원구,남,0~9세,0
2023,서울,노원구,남,10~19세,0
2023,서울,노원구,남,20~29세,0
2023,서울,노원구,남,30~39세,0
2023,서울,노원구,남,40~49세,0
2023,서울,노원구,남,50~59세,0
2023,서울,노원구,남,60~69세,0
2023,서울,노원구,남,70~79세,0
2023,서울,노원구,남,80~89세,0
2023,서울,노원구,남,90~99세,0
2023,서울,노원구,남,100세 이상,0
2023,서울,노원구,여,0~9세,0
2023,서울,노원구,여,10~19세,0
2023,서울,노원구,여,20~29세,0
2023,서울,노원구,여,30~39세,25
2023,서울,노원구,여,40~49세,24
2023,서울,노원구,여,50~59세,21
2023,서울,노원구,여,60~69세,0
2023,서울,노원구,여,70~79세,0
2023,서울,노원구,여,80~89세,0
2023,서울,노원구,여,90~99세,0
2023,서울,노원구,여,100세 이상,0
2023,서울,광진구,남,0~9세,0
2023,서울,광진구,남,10~19세,0
2023,서울,광진구,남,20~29세,0
2023,서울,광진구,남,30~39세,0
2023,서울,광진구,남,40~49세,0
2023,서울,광진구,남,50~59세,0
2023,서울,광진구,남,60~69세,0
2023,서울,광진구,남,70~79세,0
2023,서울,광진구,남,80~89세,0
2023,서울,광진구,남,90~99세,0
2023,서울,광진구,남,100세 이상,0
2023,서울,광진구,여,0~9세,0
2023,서울,광진구,여,10~19세,0
2023,서울,광진구,여,20~29세,0
2023,서울,광진구,여,30~39세,12
2023,서울,광진구,여,40~49세,18
2023,서울,광진구,여,50~59세,30
2023,서울,광진구,여,60~69세,0
2023,서울,광진구,여,70~79세,0
2023,서울,광진구,여,80~89세,0
2023,서울,광진구,여,90~99세,0
2023,서울,광진구,여,100세 이상,0
2023,서울,강북구,남,0~9세,0
2023,서울,강북구,남,10~19세,0
2023,서울,강북구,남,20~29세,15
2023,서울,강북구,남,30~39세,21
2023,서울,강북구,남,40~49세,28
2023,서울,강북구,남,50~59세,14
2023,서울,강북구,남,60~69세,0
2023,서울,강북구,남,70~79세,0
2023,서울,강북구,남,80~89세,0
2023,서울,강북구,남,90~99세,0
2023,서울,강북구,남,100세 이상,0
2023,서울,강북구,여,0~9세,0
2023,서울,강북구,여,10~19세,0
2023,서울,강북구,여,20~29세,32
2023,서울,강북구,여,30~39세,62
2023,서울,강북구,여,40~49세,87
2023,서울,강북구,여,50~59세,31
2023,서울,강북구,여,60~69세,18
2023,서울,강북구,여,70~79세,0
2023,서울,강북구,여,80~89세,0
2023,서울,강북구,여,90~99세,0
2023,서울,강북구,여,100세 이상,0
2023,서울,금천구,남,0~9세,0
2023,서울,금천구,남,10~19세,0
2023,서울,금천구,남,20~29세,0
2023,서울,금천구,남,30~39세,0
2023,서울,금천구,남,40~49세,0
2023,서울,금천구,남,50~59세,0
2023,서울,금천구,남,60~69세,0
2023,서울,금천구,남,70~79세,0
2023,서울,금천구,남,80~89세,0
2023,서울,금천구,남,90~99세,0
2023,서울,금천구,남,100세 이상,0
2023,서울,금천구,여,0~9세,0
2023,서울,금천구,여,10~19세,0
2023,서울,금천구,여,20~29세,10
2023,서울,금천구,여,30~39세,11
2023,서울,금천구,여,40~49세,17
2023,서울,금천구,여,50~59세,0
2023,서울,금천구,여,60~69세,0
2023,서울,금천구,여,70~79세,0
2023,서울,금천구,여,80~89세,0
2023,서울,금천구,여,90~99세,0
2023,서울,금천구,여,100세 이상,0
2023,부산,부산남구,남,0~9세,0
2023,부산,부산남구,남,10~19세,0
2023,부산,부산남구,남,20~29세,0
2023,부산,부산남구,남,30~39세,0
2023,부산,부산남구,남,40~49세,0
2023,부산,부산남구,남,50~59세,0
2023,부산,부산남구,남,60~69세,0
2023,부산,부산남구,남,70~79세,0
2023,부산,부산남구,남,80~89세,0
2023,부산,부산남구,남,90~99세,0
2023,부산,부산남구,남,100세 이상,0
2023,부산,부산남구,여,0~9세,0
2023,부산,부산남구,여,10~19세,0
2023,부산,부산남구,여,20~29세,0
2023,부산,부산남구,여,30~39세,0
2023,부산,부산남구,여,40~49세,14
2023,부산,부산남구,여,50~59세,0
2023,부산,부산남구,여,60~69세,0
2023,부산,부산남구,여,70~79세,0
2023,부산,부산남구,여,80~89세,0
2023,부산,부산남구,여,90~99세,0
2023,부산,부산남구,여,100세 이상,0
2023,부산,부산동구,남,0~9세,0
2023,부산,부산동구,남,10~19세,0
2023,부산,부산동구,남,20~29세,0
2023,부산,부산동구,남,30~39세,0
2023,부산,부산동구,남,40~49세,0
2023,부산,부산동구,남,50~59세,0
2023,부산,부산동구,남,60~69세,0
2023,부산,부산동구,남,70~79세,0
2023,부산,부산동구,남,80~89세,0
2023,부산,부산동구,남,90~99세,0
2023,부산,부산동구,남,100세 이상,0
2023,부산,부산동구,여,0~9세,0
2023,부산,부산동구,여,10~19세,0
2023,부산,부산동구,여,20~29세,0
2023,부산,부산동구,여,30~39세,14
2023,부산,부산동구,여,40~49세,19
2023,부산,부산동구,여,50~59세,13
2023,부산,부산동구,여,60~69세,0
2023,부산,부산동구,여,70~79세,0
2023,부산,부산동구,여,80~89세,0
2023,부산,부산동구,여,90~99세,0
2023,부산,부산동구,여,100세 이상,0
2023,부산,부산동래구,남,0~9세,0
2023,부산,부산동래구,남,10~19세,0
2023,부산,부산동래구,남,20~29세,0
2023,부산,부산동래구,남,30~39세,0
2023,부산,부산동래구,남,40~49세,0
2023,부산,부산동래구,남,50~59세,0
2023,부산,부산동래구,남,60~69세,0
2023,부산,부산동래구,남,70~79세,0
2023,부산,부산동래구,남,80~89세,0
2023,부산,부산동래구,남,90~99세,0
2023,부산,부산동래구,남,100세 이상,0
2023,부산,부산동래구,여,0~9세,0
2023,부산,부산동래구,여,10~19세,0
2023,부산,부산동래구,여,20~29세,0
2023,부산,부산동래구,여,30~39세,0
2023,부산,부산동래구,여,40~49세,11
2023,부산,부산동래구,여,50~59세,0
2023,부산,부산동래구,여,60~69세,0
2023,부산,부산동래구,여,70~79세,0
2023,부산,부산동래구,여,80~89세,0
2023,부산,부산동래구,여,90~99세,0
2023,부산,부산동래구,여,100세 이상,0
2023,부산,부산진구,남,0~9세,0
2023,부산,부산진구,남,10~19세,0
2023,부산,부산진구,남,20~29세,0
2023,부산,부산진구,남,30~39세,14
2023,부산,부산진구,남,40~49세,0
2023,부산,부산진구,남,50~59세,0
2023,부산,부산진구,남,60~69세,0
2023,부산,부산진구,남,70~79세,0
2023,부산,부산진구,남,80~89세,0
2023,부산,부산진구,남,90~99세,0
2023,부산,부산진구,남,100세 이상,0
2023,부산,부산진구,여,0~9세,0
2023,부산,부산진구,여,10~19세,0
2023,부산,부산진구,여,20~29세,17
2023,부산,부산진구,여,30~39세,31
2023,부산,부산진구,여,40~49세,35
2023,부산,부산진구,여,50~59세,35
2023,부산,부산진구,여,60~69세,15
2023,부산,부산진구,여,70~79세,0
2023,부산,부산진구,여,80~89세,0
2023,부산,부산진구,여,90~99세,0
2023,부산,부산진구,여,100세 이상,0
2023,부산,부산북구,남,0~9세,0
2023,부산,부산북구,남,10~19세,0
2023,부산,부산북구,남,20~29세,0
2023,부산,부산북구,남,30~39세,0
2023,부산,부산북구,남,40~49세,0
2023,부산,부산북구,남,50~59세,0
2023,부산,부산북구,남,60~69세,0
2023,부산,부산북구,남,70~79세,0
2023,부산,부산북구,남,80~89세,0
2023,부산,부산북구,남,90~99세,0
2023,부산,부산북구,남,100세 이상,0
2023,부산,부산북구,여,0~9세,0
2023,부산,부산북구,여,10~19세,0
2023,부산,부산북구,여,20~29세,0
2023,부산,부산북구,여,30~39세,13
2023,부산,부산북구,여,40~49세,0
2023,부산,부산북구,여,50~59세,0
2023,부산,부산북구,여,60~69세,0
2023,부산,부산북구,여,70~79세,0
2023,부산,부산북구,여,80~89세,0
2023,부산,부산북구,여,90~99세,0
2023,부산,부산북구,여,100세 이상,0
2023,부산,부산서구,남,0~9세,0
2023,부산,부산서구,남,10~19세,0
2023,부산,부산서구,남,20~29세,11
2023,부산,부산서구,남,30~39세,24
2023,부산,부산서구,남,40~49세,16
2023,부산,부산서구,남,50~59세,0
2023,부산,부산서구,남,60~69세,0
2023,부산,부산서구,남,70~79세,0
2023,부산,부산서구,남,80~89세,0
2023,부산,부산서구,남,90~99세,0
2023,부산,부산서구,남,100세 이상,0
2023,부산,부산서구,여,0~9세,0
2023,부산,부산서구,여,10~19세,0
2023,부산,부산서구,여,20~29세,21
2023,부산,부산서구,여,30~39세,45
2023,부산,부산서구,여,40~49세,24
2023,부산,부산서구,여,50~59세,38
2023,부산,부산서구,여,60~69세,14
2023,부산,부산서구,여,70~79세,0
2023,부산,부산서구,여,80~89세,0
2023,부산,부산서구,여,90~99세,0
2023,부산,부산서구,여,100세 이상,0
2023,부산,부산영도구,남,0~9세,0
2023,부산,부산영도구,남,10~19세,0
2023,부산,부산영도구,남,20~29세,0
2023,부산,부산영도구,남,30~39세,0
2023,부산,부산영도구,남,40~49세,0
2023,부산,부산영도구,남,50~59세,0
2023,부산,부산영도구,남,60~69세,0
2023,부산,부산영도구,남,70~79세,0
2023,부산,부산영도구,남,80~89세,0
2023,부산,부산영도구,남,90~99세,0
2023,부산,부산영도구,남,100세 이상,0
2023,부산,부산영도구,여,0~9세,0
2023,부산,부산영도구,여,10~19세,0
2023,부산,부산영도구,여,20~29세,0
2023,부산,부산영도구,여,30~39세,0
2023,부산,부산영도구,여,40~49세,0
2023,부산,부산영도구,여,50~59세,0
2023,부산,부산영도구,여,60~69세,0
2023,부산,부산영도구,여,70~79세,0
2023,부산,부산영도구,여,80~89세,0
2023,부산,부산영도구,여,90~99세,0
2023,부산,부산영도구,여,100세 이상,0
2023,부산,부산중구,남,0~9세,0
2023,부산,부산중구,남,10~19세,0
2023,부산,부산중구,남,20~29세,0
2023,부산,부산중구,남,30~39세,0
2023,부산,부산중구,남,40~49세,0
2023,부산,부산중구,남,50~59세,0
2023,부산,부산중구,남,60~69세,0
2023,부산,부산중구,남,70~79세,0
2023,부산,부산중구,남,80~89세,0
2023,부산,부산중구,남,90~99세,0
