진료년도,시도,시군구,성별,연령군,환자수,입내원일수,요양급여비용총액
2023,서울,서대문구,남,30~39세,0,0,0
2023,서울,서대문구,남,40~49세,0,0,0
2023,서울,서대문구,남,50~59세,0,0,0
2023,서울,서대문구,남,60~69세,0,0,0
2023,서울,서대문구,남,70~79세,0,0,0
2023,서울,서대문구,남,80~89세,0,0,0
2023,서울,서대문구,남,90~99세,0,0,0
2023,서울,서대문구,남,100세 이상,0,0,0
2023,서울,서대문구,여,0~9세,0,0,0
2023,서울,서대문구,여,10~19세,0,0,0
2023,서울,서대문구,여,20~29세,14,28,2099890
2023,서울,서대문구,여,30~39세,16,32,2348370
2023,서울,서대문구,여,40~49세,15,35,1168140
2023,서울,서대문구,여,50~59세,0,0,0
2023,서울,서대문구,여,60~69세,0,0,0
2023,서울,서대문구,여,70~79세,0,0,0
2023,서울,서대문구,여,80~89세,0,0,0
2023,서울,서대문구,여,90~99세,0,0,0
2023,서울,서대문구,여,100세 이상,0,0,0
2023,서울,성동구,남,0~9세,0,0,0
2023,서울,성동구,남,10~19세,0,0,0
2023,서울,성동구,남,20~29세,0,0,0
2023,서울,성동구,남,30~39세,0,0,0
2023,서울,성동구,남,40~49세,0,0,0
2023,서울,성동구,남,50~59세,0,0,0
2023,서울,성동구,남,60~69세,0,0,0
2023,서울,성동구,남,70~79세,0,0,0
2023,서울,성동구,남,80~89세,0,0,0
2023,서울,성동구,남,90~99세,0,0,0
2023,서울,성동구,남,100세 이상,0,0,0
2023,서울,성동구,여,0~9세,0,0,0
2023,서울,성동구,여,10~19세,0,0,0
2023,서울,성동구,여,20~29세,0,0,0
2023,서울,성동구,여,30~39세,18,34,14662130
2023,서울,성동구,여,40~49세,20,34,14005670
2023,서울,성동구,여,50~59세,0,0,0
2023,서울,성동구,여,60~69세,0,0,0
2023,서울,성동구,여,70~79세,0,0,0
2023,서울,성동구,여,80~89세,0,0,0
2023,서울,성동구,여,90~99세,0,0,0
2023,서울,성동구,여,100세 이상,0,0,0
2023,서울,성북구,남,0~9세,15,32,1186420
2023,서울,성북구,남,10~19세,24,63,4741370
2023,서울,성북구,남,20~29세,30,131,69318300
2023,서울,성북구,남,30~39세,29,113,49866110
2023,서울,성북구,남,40~49세,20,51,36472640
2023,서울,성북구,남,50~59세,10,44,25356040
2023,서울,성북구,남,60~69세,0,0,0
2023,서울,성북구,남,70~79세,0,0,0
2023,서울,성북구,남,80~89세,0,0,0
2023,서울,성북구,남,90~99세,0,0,0
2023,서울,성북구,남,100세 이상,0,0,0
2023,서울,성북구,여,0~9세,0,0,0
2023,서울,성북구,여,10~19세,14,38,23999660
2023,서울,성북구,여,20~29세,25,114,53432430
2023,서울,성북구,여,30~39세,32,97,43723450
2023,서울,성북구,여,40~49세,37,81,25081640
2023,서울,성북구,여,50~59세,29,96,50989380
2023,서울,성북구,여,60~69세,14,39,14570500
2023,서울,성북구,여,70~79세,0,0,0
2023,서울,성북구,여,80~89세,0,0,0
2023,서울,성북구,여,90~99세,0,0,0
2023,서울,성북구,여,100세 이상,0,0,0
2023,서울,영등포구,남,0~9세,0,0,0
2023,서울,영등포구,남,10~19세,0,0,0
2023,서울,영등포구,남,20~29세,0,0,0
2023,서울,영등포구,남,30~39세,20,50,13581080
2023,서울,영등포구,남,40~49세,13,46,2249310
2023,서울,영등포구,남,50~59세,0,0,0
2023,서울,영등포구,남,60~69세,0,0,0
2023,서울,영등포구,남,70~79세,0,0,0
2023,서울,영등포구,남,80~89세,0,0,0
2023,서울,영등포구,남,90~99세,0,0,0
2023,서울,영등포구,남,100세 이상,0,0,0
2023,서울,영등포구,여,0~9세,0,0,0
2023,서울,영등포구,여,10~19세,0,0,0
2023,서울,영등포구,여,20~29세,14,37,1656240
2023,서울,영등포구,여,30~39세,24,73,29404610
2023,서울,영등포구,여,40~49세,43,72,3054560
2023,서울,영등포구,여,50~59세,20,32,873420
2023,서울,영등포구,여,60~69세,0,0,0
2023,서울,영등포구,여,70~79세,0,0,0
2023,서울,영등포구,여,80~89세,0,0,0
2023,서울,영등포구,여,90~99세,0,0,0
2023,서울,영등포구,여,100세 이상,0,0,0
2023,서울,용산구,남,0~9세,0,0,0
2023,서울,용산구,남,10~19세,0,0,0
2023,서울,용산구,남,20~29세,15,53,45689120
2023,서울,용산구,남,30~39세,40,166,111606360
2023,서울,용산구,남,40~49세,17,67,46529670
2023,서울,용산구,남,50~59세,12,47,15040270
2023,서울,용산구,남,60~69세,0,0,0
2023,서울,용산구,남,70~79세,0,0,0
2023,서울,용산구,남,80~89세,0,0,0
2023,서울,용산구,남,90~99세,0,0,0
2023,서울,용산구,남,100세 이상,0,0,0
2023,서울,용산구,여,0~9세,0,0,0
2023,서울,용산구,여,10~19세,0,0,0
2023,서울,용산구,여,20~29세,56,250,252900540
2023,서울,용산구,여,30~39세,83,373,351092400
2023,서울,용산구,여,40~49세,48,176,153546560
2023,서울,용산구,여,50~59세,29,88,54760470
2023,서울,용산구,여,60~69세,0,0,0
2023,서울,용산구,여,70~79세,0,0,0
2023,서울,용산구,여,80~89세,0,0,0
2023,서울,용산구,여,90~99세,0,0,0
2023,서울,용산구,여,100세 이상,0,0,0
2023,서울,은평구,남,0~9세,0,0,0
2023,서울,은평구,남,10~19세,12,29,10071940
2023,서울,은평구,남,20~29세,10,46,30254200
2023,서울,은평구,남,30~39세,12,40,12107590
2023,서울,은평구,남,40~49세,0,0,0
2023,서울,은평구,남,50~59세,0,0,0
2023,서울,은평구,남,60~69세,0,0,0
2023,서울,은평구,남,70~79세,0,0,0
2023,서울,은평구,남,80~89세,0,0,0
2023,서울,은평구,남,90~99세,0,0,0
2023,서울,은평구,남,100세 이상,0,0,0
2023,서울,은평구,여,0~9세,0,0,0
2023,서울,은평구,여,10~19세,0,0,0
2023,서울,은평구,여,20~29세,14,49,2355420
2023,서울,은평구,여,30~39세,26,64,3785870
2023,서울,은평구,여,40~49세,28,88,23622890
2023,서울,은평구,여,50~59세,21,57,12956880
2023,서울,은평구,여,60~69세,0,0,0
2023,서울,은평구,여,70~79세,0,0,0
2023,서울,은평구,여,80~89세,0,0,0
2023,서울,은평구,여,90~99세,0,0,0
2023,서울,은평구,여,100세 이상,0,0,0
2023,서울,종로구,남,0~9세,0,0,0
2023,서울,종로구,남,10~19세,0,0,0
2023,서울,종로구,남,20~29세,21,103,45754770
2023,서울,종로구,남,30~39세,32,158,82858580
2023,서울,종로구,남,40~49세,26,121,64039230
2023,서울,종로구,남,50~59세,16,65,26796450
2023,서울,종로구,남,60~69세,0,0,0
2023,서울,종로구,남,70~79세,0,0,0
2023,서울,종로구,남,80~89세,0,0,0
2023,서울,종로구,남,90~99세,0,0,0
2023,서울,종로구,남,100세 이상,0,0,0
2023,서울,종로구,여,0~9세,0,0,0
2023,서울,종로구,여,10~19세,0,0,0
2023,서울,종로구,여,20~29세,29,113,49169510
2023,서울,종로구,여,30~39세,58,181,73016350
2023,서울,종로구,여,40~49세,63,183,76242460
2023,서울,종로구,여,50~59세,39,93,22050440
2023,서울,종로구,여,60~69세,17,47,15677270
2023,서울,종로구,여,70~79세,0,0,0
2023,서울,종로구,여,80~89세,0,0,0
2023,서울,종로구,여,90~99세,0,0,0
2023,서울,종로구,여,100세 이상,0,0,0
2023,서울,중구,남,0~9세,0,0,0
2023,서울,중구,남,10~19세,0,0,0
2023,서울,중구,남,20~29세,0,0,0
2023,서울,중구,남,30~39세,0,0,0
2023,서울,중구,남,40~49세,0,0,0
2023,서울,중구,남,50~59세,0,0,0
2023,서울,중구,남,60~69세,0,0,0
2023,서울,중구,남,70~79세,0,0,0
2023,서울,중구,남,80~89세,0,0,0
2023,서울,중구,남,90~99세,0,0,0
2023,서울,중구,남,100세 이상,0,0,0
2023,서울,중구,여,0~9세,0,0,0
2023,서울,중구,여,10~19세,0,0,0
2023,서울,중구,여,20~29세,0,0,0
2023,서울,중구,여,30~39세,19,25,569310
2023,서울,중구,여,40~49세,14,23,315510
2023,서울,중구,여,50~59세,0,0,0
2023,서울,중구,여,60~69세,0,0,0
2023,서울,중구,여,70~79세,0,0,0
2023,서울,중구,여,80~89세,0,0,0
2023,서울,중구,여,90~99세,0,0,0
2023,서울,중구,여,100세 이상,0,0,0
2023,서울,송파구,남,0~9세,19,46,4061930
2023,서울,송파구,남,10~19세,73,165,9549010
2023,서울,송파구,남,20~29세,78,266,64385780
2023,서울,송파구,남,30~39세,97,323,72680310
2023,서울,송파구,남,40~49세,96,306,72467570
2023,서울,송파구,남,50~59세,63,152,10844460
2023,서울,송파구,남,60~69세,26,51,3618550
2023,서울,송파구,남,70~79세,0,0,0
2023,서울,송파구,남,80~89세,0,0,0
2023,서울,송파구,남,90~99세,0,0,0
2023,서울,송파구,남,100세 이상,0,0,0
2023,서울,송파구,여,0~9세,14,39,2675470
2023,서울,송파구,여,10~19세,46,100,5848990
