시도,시군구,연령군,환자수
부산,부산영도구,80~89세,0
부산,부산영도구,90~99세,0
부산,부산영도구,100세 이상,0
부산,부산영도구,0~9세,0
부산,부산영도구,10~19세,0
부산,부산영도구,20~29세,0
부산,부산영도구,30~39세,0
부산,부산영도구,40~49세,0
부산,부산영도구,50~59세,0
부산,부산영도구,60~69세,0
부산,부산영도구,70~79세,0
부산,부산영도구,80~89세,0
부산,부산영도구,90~99세,0
부산,부산영도구,100세 이상,0
부산,부산중구,0~9세,0
부산,부산중구,10~19세,0
부산,부산중구,20~29세,0
부산,부산중구,30~39세,0
부산,부산중구,40~49세,0
부산,부산중구,50~59세,0
부산,부산중구,60~69세,0
부산,부산중구,70~79세,0
부산,부산중구,80~89세,0
부산,부산중구,90~99세,0
부산,부산중구,100세 이상,0
부산,부산중구,0~9세,0
부산,부산중구,10~19세,0
부산,부산중구,20~29세,0
부산,부산중구,30~39세,0
부산,부산중구,40~49세,0
부산,부산중구,50~59세,0
부산,부산중구,60~69세,0
부산,부산중구,70~79세,0
부산,부산중구,80~89세,0
부산,부산중구,90~99세,0
부산,부산중구,100세 이상,0
부산,부산해운대구,0~9세,0
부산,부산해운대구,10~19세,0
부산,부산해운대구,20~29세,0
부산,부산해운대구,30~39세,0
부산,부산해운대구,40~49세,0
부산,부산해운대구,50~59세,0
부산,부산해운대구,60~69세,0
부산,부산해운대구,70~79세,0
부산,부산해운대구,80~89세,0
부산,부산해운대구,90~99세,0
부산,부산해운대구,100세 이상,0
부산,부산해운대구,0~9세,0
부산,부산해운대구,10~19세,0
부산,부산해운대구,20~29세,21
부산,부산해운대구,30~39세,53
부산,부산해운대구,40~49세,77
부산,부산해운대구,50~59세,28
부산,부산해운대구,60~69세,10
부산,부산해운대구,70~79세,0
부산,부산해운대구,80~89세,0
부산,부산해운대구,90~99세,0
부산,부산해운대구,100세 이상,0
부산,부산사하구,0~9세,0
부산,부산사하구,10~19세,0
부산,부산사하구,20~29세,0
부산,부산사하구,30~39세,0
부산,부산사하구,40~49세,0
부산,부산사하구,50~59세,0
부산,부산사하구,60~69세,0
부산,부산사하구,70~79세,0
부산,부산사하구,80~89세,0
부산,부산사하구,90~99세,0
부산,부산사하구,100세 이상,0
