진료년도,시도,시군구,성별,환자수,입내원일수,요양급여비용총액
2023,경기,평택시,여,110,183,8011220
2023,경기,하남시,남,23,27,1205600
2023,경기,하남시,여,57,85,1782070
2023,경기,군포시,남,19,39,13313440
2023,경기,군포시,여,22,45,1367380
2023,경기,남양주시,남,39,137,3011630
2023,경기,남양주시,여,111,281,8401810
2023,경기,의왕시,남,11,15,283630
2023,경기,의왕시,여,16,39,521260
2023,경기,시흥시,남,39,52,1747980
2023,경기,시흥시,여,111,159,3226580
2023,경기,오산시,남,0,0,0
2023,경기,오산시,여,21,26,339160
2023,경기,고양덕양구,남,49,87,16075580
2023,경기,고양덕양구,여,92,202,30777610
2023,경기,고양일산서구,남,0,0,0
2023,경기,고양일산서구,여,26,35,598450
2023,경기,고양일산동구,남,22,61,34871970
2023,경기,고양일산동구,여,175,346,64428650
2023,경기,용인기흥구,남,24,63,2236490
2023,경기,용인기흥구,여,49,87,2894680
2023,경기,용인수지구,남,14,18,613970
2023,경기,용인수지구,여,48,66,946640
2023,경기,용인처인구,남,10,16,592300
2023,경기,용인처인구,여,47,66,1911180
2023,경기,이천시,남,12,13,354730
2023,경기,이천시,여,52,87,1513200
2023,경기,파주시,남,30,48,2206830
2023,경기,파주시,여,103,171,6668760
2023,경기,김포시,남,25,38,1093070
2023,경기,김포시,여,107,162,3342080
2023,경기,안성시,남,0,0,0
2023,경기,안성시,여,17,27,357080
2023,경기,화성시,남,67,153,54109930
2023,경기,화성시,여,194,364,83857700
2023,경기,광주시,남,25,40,1376060
2023,경기,광주시,여,51,80,1606220
2023,경기,양주시,남,14,14,673130
2023,경기,양주시,여,38,65,1203110
2023,경기,포천시,남,0,0,0
2023,경기,포천시,여,26,36,555750
2023,경기,여주시,남,0,0,0
2023,경기,여주시,여,16,30,1536580
2023,강원,고성군,남,0,0,0
2023,강원,고성군,여,0,0,0
2023,강원,양구군,남,0,0,0
2023,강원,양구군,여,0,0,0
2023,강원,양양군,남,0,0,0
2023,강원,양양군,여,0,0,0
2023,강원,영월군,남,0,0,0
2023,강원,영월군,여,0,0,0
2023,강원,인제군,남,0,0,0
2023,강원,인제군,여,0,0,0
2023,강원,정선군,남,0,0,0
2023,강원,정선군,여,0,0,0
2023,강원,철원군,남,0,0,0
2023,강원,철원군,여,0,0,0
2023,강원,평창군,남,0,0,0
2023,강원,평창군,여,0,0,0
2023,강원,홍천군,남,0,0,0
2023,강원,홍천군,여,0,0,0
2023,강원,화천군,남,0,0,0
2023,강원,화천군,여,0,0,0
2023,강원,횡성군,남,0,0,0
2023,강원,횡성군,여,0,0,0
2023,강원,강릉시,남,41,106,39356410
2023,강원,강릉시,여,80,192,79788320
2023,강원,동해시,남,0,0,0
2023,강원,동해시,여,0,0,0
2023,강원,속초시,남,0,0,0
2023,강원,속초시,여,13,18,287370
2023,강원,원주시,남,36,81,15221980
2023,강원,원주시,여,120,396,95294260
2023,강원,춘천시,남,22,42,2268330
2023,강원,춘천시,여,79,181,14699050
2023,강원,태백시,남,0,0,0
2023,강원,태백시,여,0,0,0
2023,강원,삼척시,남,0,0,0
2023,강원,삼척시,여,11,12,131180
2023,충북,괴산군,남,0,0,0
2023,충북,괴산군,여,0,0,0
2023,충북,단양군,남,0,0,0
2023,충북,단양군,여,0,0,0
2023,충북,보은군,남,0,0,0
2023,충북,보은군,여,0,0,0
2023,충북,영동군,남,0,0,0
2023,충북,영동군,여,0,0,0
2023,충북,옥천군,남,0,0,0
2023,충북,옥천군,여,0,0,0
2023,충북,음성군,남,0,0,0
2023,충북,음성군,여,0,0,0
2023,충북,진천군,남,0,0,0
2023,충북,진천군,여,0,0,0
2023,충북,증평군,남,0,0,0
2023,충북,증평군,여,0,0,0
2023,충북,청주상당구,남,36,36,626910
2023,충북,청주상당구,여,55,63,1200160
2023,충북,청주흥덕구,남,17,19,477090
2023,충북,청주흥덕구,여,78,130,2073420
2023,충북,청주청원구,남,0,0,0
2023,충북,청주청원구,여,10,14,190330
2023,충북,청주서원구,남,40,108,52920550
2023,충북,청주서원구,여,84,142,18183610
2023,충북,충주시,남,25,48,2043550
2023,충북,충주시,여,59,130,3278160
2023,충북,제천시,남,0,0,0
2023,충북,제천시,여,25,43,597640
2023,충남,금산군,남,0,0,0
2023,충남,금산군,여,0,0,0
2023,충남,부여군,남,0,0,0
2023,충남,부여군,여,33,106,2100260
2023,충남,서천군,남,0,0,0
2023,충남,서천군,여,0,0,0
2023,충남,예산군,남,0,0,0
2023,충남,예산군,여,42,99,1995460
2023,충남,청양군,남,0,0,0
2023,충남,청양군,여,0,0,0
2023,충남,홍성군,남,0,0,0
2023,충남,홍성군,여,0,0,0
2023,충남,태안군,남,0,0,0
2023,충남,태안군,여,37,150,2018210
2023,충남,천안서북구,남,23,29,804140
2023,충남,천안서북구,여,119,230,7876360
2023,충남,천안동남구,남,112,229,25896860
2023,충남,천안동남구,여,109,267,46259780
2023,충남,공주시,남,0,0,0
2023,충남,공주시,여,16,26,401690
2023,충남,보령시,남,11,15,564860
2023,충남,보령시,여,112,360,2587300
2023,충남,아산시,남,39,43,1257110
2023,충남,아산시,여,70,98,2090700
2023,충남,서산시,남,22,33,995230
2023,충남,서산시,여,46,61,1565980
2023,충남,논산시,남,0,0,0
2023,충남,논산시,여,27,39,1040610
2023,충남,계룡시,남,0,0,0
2023,충남,계룡시,여,0,0,0
2023,충남,당진시,남,0,0,0
2023,충남,당진시,여,10,55,1496030
2023,전북,고창군,남,0,0,0
2023,전북,고창군,여,0,0,0
2023,전북,무주군,남,0,0,0
2023,전북,무주군,여,13,47,732560
2023,전북,부안군,남,0,0,0
2023,전북,부안군,여,0,0,0
2023,전북,순창군,남,0,0,0
2023,전북,순창군,여,0,0,0
2023,전북,완주군,남,13,17,1128400
2023,전북,완주군,여,10,10,247920
2023,전북,임실군,남,0,0,0
2023,전북,임실군,여,0,0,0
2023,전북,장수군,남,0,0,0
2023,전북,장수군,여,0,0,0
2023,전북,진안군,남,0,0,0
2023,전북,진안군,여,0,0,0
2023,전북,군산시,남,12,19,1369930
2023,전북,군산시,여,43,74,1501700
2023,전북,남원시,남,0,0,0
2023,전북,남원시,여,0,0,0
2023,전북,익산시,남,37,198,65937650
2023,전북,익산시,여,74,342,104644910
2023,전북,전주완산구,남,17,30,1023730
2023,전북,전주완산구,여,33,90,22150540
2023,전북,전주덕진구,남,54,111,41097130
2023,전북,전주덕진구,여,63,163,17224910
2023,전북,정읍시,남,0,0,0
2023,전북,정읍시,여,13,15,343070
2023,전북,김제시,남,0,0,0
2023,전북,김제시,여,19,20,491880
2023,전남,강진군,남,0,0,0
2023,전남,강진군,여,0,0,0
2023,전남,고흥군,남,13,16,817970
2023,전남,고흥군,여,16,18,416860
2023,전남,곡성군,남,0,0,0
2023,전남,곡성군,여,0,0,0
2023,전남,구례군,남,0,0,0
2023,전남,구례군,여,0,0,0
2023,전남,담양군,남,0,0,0
2023,전남,담양군,여,0,0,0
2023,전남,무안군,남,0,0,0
2023,전남,무안군,여,22,36,834010
2023,전남,보성군,남,0,0,0
2023,전남,보성군,여,0,0,0
